report_id,date_time,injured,killed
192439,4/28/19 12:00,0,0
192448,4/28/19 11:30,1,0
19201071,4/28/19 10:30,1,0
19201067,4/28/19 10:05,4,0
192389,4/28/19 8:30,0,0
192452,4/28/19 8:16,1,0
19014209,4/28/19 2:10,0,0
19014200,4/28/19 1:30,0,0
192902,4/28/19 0:40,0,0
192458,4/28/19 0:01,0,0
19201062,4/27/19 23:59,0,0
19201061,4/27/19 22:51,1,0
192395,4/27/19 21:10,0,0
19201102,4/27/19 18:40,0,0
192496,4/27/19 18:00,0,0
19201060,4/27/19 15:15,2,0
192404,4/27/19 15:13,1,0
19201059,4/27/19 15:00,0,0
192397,4/27/19 15:00,0,0
192405,4/27/19 13:29,2,0
19201086,4/27/19 12:15,0,0
19201189,4/27/19 7:45,0,0
192402,4/27/19 3:55,0,0
19201058,4/27/19 3:00,0,0
192398,4/27/19 2:30,0,0
192443,4/27/19 1:00,0,0
192544,4/27/19 0:01,0,0
19201056,4/26/19 23:39,1,0
19201055,4/26/19 22:53,0,0
192401,4/26/19 22:30,1,0
192494,4/26/19 21:48,2,0
19201054,4/26/19 21:30,1,0
19201057,4/26/19 21:14,1,0
192387,4/26/19 20:39,0,0
192444,4/26/19 20:00,0,0
19201053,4/26/19 18:20,3,0
19201052,4/26/19 18:10,1,0
19201051,4/26/19 17:58,0,0
19014046,4/26/19 17:39,1,0
192406,4/26/19 16:20,1,0
19201050,4/26/19 15:51,1,0
19201048,4/26/19 15:47,1,0
192482,4/26/19 14:42,0,0
192371,4/26/19 14:30,0,0
192410,4/26/19 13:13,1,0
192411,4/26/19 13:04,1,0
19201047,4/26/19 12:52,1,0
19201046,4/26/19 12:21,2,0
19201043,4/26/19 12:01,1,0
19201042,4/26/19 11:39,0,0
19201045,4/26/19 11:30,1,0
19201040,4/26/19 8:50,1,0
19201039,4/26/19 8:18,2,0
192392,4/26/19 7:15,0,0
19201049,4/26/19 4:56,1,0
19201036,4/26/19 0:30,1,0
192378,4/26/19 0:22,1,0
19013929,4/26/19 0:20,0,0
19201035,4/25/19 22:01,1,0
19201038,4/25/19 22:00,0,0
192383,4/25/19 21:40,0,0
192403,4/25/19 20:55,1,0
192374,4/25/19 20:54,0,0
192522,4/25/19 20:50,0,0
19201034,4/25/19 20:40,1,0
19201037,4/25/19 20:35,0,1
19201033,4/25/19 19:00,1,0
19201032,4/25/19 18:59,1,0
192380,4/25/19 17:26,0,0
192890,4/25/19 16:00,1,0
19201031,4/25/19 12:54,1,0
19201030,4/25/19 12:45,1,0
19201028,4/25/19 11:25,1,0
19201026,4/25/19 8:57,0,0
19201025,4/25/19 8:40,0,0
19201027,4/25/19 7:59,1,0
192412,4/25/19 7:00,1,0
192375,4/25/19 0:01,0,0
19201041,4/25/19 0:01,0,0
19201029,4/25/19 0:00,1,0
19013764,4/24/19 20:04,0,0
192376,4/24/19 18:05,0,0
192391,4/24/19 18:00,0,0
192396,4/24/19 18:00,1,0
19201024,4/24/19 17:58,1,0
192381,4/24/19 15:12,1,0
192372,4/24/19 14:22,1,0
19201023,4/24/19 14:14,0,0
19013697,4/24/19 13:45,0,0
19201021,4/24/19 13:35,0,0
19201019,4/24/19 12:42,1,0
19201017,4/24/19 12:20,0,0
19201022,4/24/19 12:14,2,0
19201018,4/24/19 12:00,0,0
19201016,4/24/19 10:35,0,0
192373,4/24/19 9:25,1,0
19013637,4/24/19 7:30,0,0
19201013,4/24/19 7:15,2,0
19201012,4/24/19 7:04,1,0
192356,4/24/19 4:16,1,0
192367,4/24/19 1:15,0,0
192393,4/23/19 22:25,0,0
192464,4/23/19 22:11,0,0
19013606,4/23/19 21:40,0,0
192359,4/23/19 20:52,1,0
192360,4/23/19 20:40,2,0
192368,4/23/19 20:33,0,0
19201011,4/23/19 20:06,0,0
192744,4/23/19 19:00,1,0
19201008,4/23/19 17:23,1,0
19201009,4/23/19 17:18,0,0
19201007,4/23/19 15:35,1,0
192355,4/23/19 15:32,1,0
19201005,4/23/19 14:33,2,0
19201006,4/23/19 14:30,0,0
19201002,4/23/19 11:53,0,0
19201004,4/23/19 10:30,0,0
19201001,4/23/19 9:48,0,0
19201072,4/23/19 8:00,0,0
19201020,4/23/19 7:00,0,0
19200997,4/23/19 5:45,1,0
19201000,4/23/19 0:00,0,0
19200996,4/22/19 21:27,1,0
19013454,4/22/19 21:19,1,0
19200994,4/22/19 21:02,1,0
192454,4/22/19 19:51,1,0
19200995,4/22/19 19:08,2,0
19200993,4/22/19 18:35,1,0
19200992,4/22/19 16:06,0,0
19013420,4/22/19 15:30,0,0
192353,4/22/19 14:54,1,0
192737,4/22/19 14:40,0,0
19200990,4/22/19 14:24,0,0
19200989,4/22/19 13:40,2,0
19200998,4/22/19 13:00,1,0
192348,4/22/19 13:00,0,0
19200987,4/22/19 11:52,0,0
192509,4/22/19 11:30,1,0
192362,4/22/19 11:21,1,0
192407,4/22/19 10:31,1,0
19200984,4/22/19 7:36,0,0
19200986,4/22/19 7:23,0,0
192345,4/22/19 7:00,0,0
19200983,4/22/19 6:55,0,0
192343,4/22/19 6:00,0,0
19200982,4/22/19 5:17,0,0
19201064,4/22/19 1:54,0,0
192335,4/22/19 1:36,0,0
19200999,4/22/19 0:00,0,0
192319,4/21/19 23:54,2,0
192328,4/21/19 23:40,1,0
192352,4/21/19 22:05,1,0
19200980,4/21/19 21:00,0,0
19200978,4/21/19 19:19,3,0
19200979,4/21/19 19:10,0,0
19200981,4/21/19 18:37,1,0
192477,4/21/19 17:35,0,0
192476,4/21/19 17:35,0,0
192596,4/21/19 16:20,0,0
19200976,4/21/19 15:37,1,0
19200975,4/21/19 15:33,1,0
19200973,4/21/19 15:30,1,0
192377,4/21/19 14:30,0,0
19201015,4/21/19 14:27,0,0
19200971,4/21/19 13:40,1,0
19200972,4/21/19 13:34,0,0
192705,4/21/19 12:20,1,0
192289,4/21/19 11:17,0,0
192325,4/21/19 11:07,3,0
192324,4/21/19 10:00,3,0
192295,4/21/19 9:50,0,0
192292,4/21/19 7:45,0,0
19200969,4/21/19 3:20,2,0
192633,4/21/19 3:20,0,0
19200968,4/21/19 2:38,0,0
19200977,4/21/19 1:49,0,0
192291,4/21/19 0:50,0,0
192284,4/21/19 0:30,0,0
19200965,4/21/19 0:19,1,0
192363,4/21/19 0:12,1,0
192329,4/21/19 0:05,1,0
19200966,4/20/19 23:20,0,0
19200963,4/20/19 23:07,1,0
19200967,4/20/19 22:47,2,0
19200964,4/20/19 22:35,0,0
192316,4/20/19 21:32,1,0
192290,4/20/19 21:00,0,0
192358,4/20/19 20:37,2,0
192344,4/20/19 20:00,0,0
192314,4/20/19 18:37,0,0
192386,4/20/19 18:20,0,0
19013197,4/20/19 17:02,0,0
19200961,4/20/19 16:12,0,0
19200959,4/20/19 15:15,1,0
192579,4/20/19 14:40,0,0
19200960,4/20/19 13:00,0,0
19200958,4/20/19 12:15,1,0
19200957,4/20/19 12:08,0,0
